Benchmark, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
benchmark1,1576950.5,2.435298204421997,1580654,1573693,0.004403873333442993
benchmark10,5361731.2,3.1565648794174193,5368527,5352123,0.003055586755920199
benchmark11,1548277.7,2.6241952419281005,1553200,1545260,0.0051120267834148855
benchmark12,4952086.2,2.5430535078048706,4960511,4942584,0.003613942192649104
benchmark13,3425407.7,2.285136008262634,3438604,3412454,0.007604830332309275
benchmark14,1266358.8,2.1169965267181396,1269939,1262478,0.005875085338744617
benchmark15,314737.2,1.6701274394989014,316163,314023,0.006768660469441396
benchmark16,695050.4,1.6126216888427733,698218,693262,0.007098069657327654
benchmark17,4009783.0,2.4408374786376954,4014310,4005313,0.0022412319925466644
benchmark18,5188106.6,3.2929573535919188,5192869,5182538,0.0019894590061871388
benchmark19,14375451.0,4.004103493690491,14379448,14366408,0.0009068498317877015
benchmark2,1249594.5,1.818214750289917,1254560,1247021,0.0060092781532967736
benchmark20,7279318.0,3.8048484563827514,7293626,7259678,0.004654475016953158
benchmark21,826672.2,2.254606747627258,829736,824046,0.0068576029001995815
benchmark22,672324.5,1.757424783706665,673641,669979,0.005436129926771084
benchmark23,21230.0,0.24114749431610108,21230,21230,0.0
benchmark24,2775290.9,2.6374109506607057,2781285,2767058,0.005115261470866883
benchmark25,4486188.8,3.0837809085845946,4490219,4482690,0.0016767556326317268
benchmark26,1284565.8,2.0628111600875854,1287086,1280895,0.0048100903902303345
benchmark27,397112.7,1.763231110572815,397723,396202,0.003824269655011151
benchmark28,13894894.0,4.028734278678894,13901011,13887207,0.000993021298954443
benchmark29,4363636.4,2.2865350961685182,4371332,4356249,0.003450435702435779
benchmark3,30363.0,0.3309346675872803,30363,30363,0.0
benchmark30,584847.5,1.4661637783050536,588787,581230,0.01283486218275879
benchmark4,249982.3,1.4222600221633912,251123,249102,0.008047849062013435
benchmark5,9436769.3,3.477475666999817,9446360,9423553,0.002414369132660623
benchmark6,519932.6,1.5456128120422363,521778,516061,0.010956767054187796
benchmark7,22701.0,0.23475821018218995,22701,22701,0.0
benchmark8,2731438.8,2.589185881614685,2735422,2724226,0.004092969932975607
benchmark9,239361.0,1.4163436889648438,240654,238589,0.008580784030184413
benchmark_apache,7743802.7,2.7278483867645265,7762685,7730869,0.004098581869546427
benchmark_bugzilla,179931.5,1.0568669795989991,180498,179165,0.0073851233808684864
benchmark_gcc,10478515.0,2.5963335752487184,10490293,10460775,0.0028138394227882864
benchmark_spins,9791.0,0.1832045316696167,9791,9791,0.0
benchmark_spinv,315852.2,2.1730782747268678,316570,315101,0.004640363900559118
